antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedents1,consequents1
frozenset({1120112}),frozenset({1120224}),0.5067333333333334,0.6369333333333334,0.3832333333333333,0.7562820681489277,1.1873802619043243,0.06047798222222217,1.4897002609086816,1120112,1120224
frozenset({1120224}),frozenset({1120112}),0.6369333333333334,0.5067333333333334,0.3832333333333333,0.6016851580489847,1.1873802619043243,0.06047798222222217,1.2383838479393858,1120224,1120112
frozenset({1120112}),frozenset({1681904}),0.5067333333333334,0.6661333333333334,0.3380666666666667,0.6671490593342981,1.001524808848526,0.0005147022222222186,1.0030515942028986,1120112,1681904
frozenset({1681904}),frozenset({1120112}),0.6661333333333334,0.5067333333333334,0.3380666666666667,0.5075060048038431,1.001524808848526,0.0005147022222222186,1.0015688952110005,1681904,1120112
frozenset({1120112}),frozenset({1709008}),0.5067333333333334,0.7364333333333334,0.4092,0.8075253256150506,1.0965355437673252,0.03602468222222216,1.3693576441102753,1120112,1709008
frozenset({1709008}),frozenset({1120112}),0.7364333333333334,0.5067333333333334,0.4092,0.555651111211696,1.0965355437673252,0.03602468222222216,1.1100886693151335,1709008,1120112
frozenset({1120224}),frozenset({1120560}),0.6369333333333334,0.3655333333333333,0.3022666666666667,0.4745656269625288,1.2982827657191196,0.06944630222222223,1.207508871181939,1120224,1120560
frozenset({1120560}),frozenset({1120224}),0.3655333333333333,0.6369333333333334,0.3022666666666667,0.8269195695786978,1.2982827657191194,0.06944630222222223,2.0976760098349145,1120560,1120224
frozenset({1120224}),frozenset({1379840}),0.6369333333333334,0.5256666666666666,0.3705333333333333,0.5817458656060288,1.1066820525162249,0.035718711111111134,1.1340792459125792,1120224,1379840
frozenset({1379840}),frozenset({1120224}),0.5256666666666666,0.6369333333333334,0.3705333333333333,0.7048826886493342,1.1066820525162249,0.035718711111111134,1.230245237072053,1379840,1120224
frozenset({1668240}),frozenset({1120224}),0.4409666666666667,0.6369333333333334,0.3199666666666667,0.7256028422405322,1.1392131707774735,0.03910029777777779,1.3231429568411386,1668240,1120224
frozenset({1120224}),frozenset({1668240}),0.6369333333333334,0.4409666666666667,0.3199666666666667,0.5023550345405066,1.1392131707774735,0.03910029777777779,1.1233577593157358,1120224,1668240
frozenset({1681904}),frozenset({1120224}),0.6661333333333334,0.6369333333333334,0.42946666666666666,0.6447157726180944,1.0122186088833385,0.005184142222222188,1.0219048262910797,1681904,1120224
frozenset({1120224}),frozenset({1681904}),0.6369333333333334,0.6661333333333334,0.42946666666666666,0.6742725559974879,1.0122186088833385,0.005184142222222188,1.0249878320479862,1120224,1681904
frozenset({1120224}),frozenset({1683024}),0.6369333333333334,0.5378666666666667,0.34303333333333336,0.5385702323634081,1.0013080671109469,0.0004481244444444199,1.0015247514271672,1120224,1683024
frozenset({1683024}),frozenset({1120224}),0.5378666666666667,0.6369333333333334,0.34303333333333336,0.6377664848785325,1.0013080671109469,0.0004481244444444199,1.0023000399201596,1683024,1120224
